                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80835,                0.51093,                0.83054,                0.93669,                0.70498,                0.77809,                0.57892,                   1.03,                0.89943,                 0.8143,              0.0013268,              0.0013268,              0.0013268
                     37,                0.77309,                0.48831,                0.81194,                0.83792,                 0.7619,                0.77812,                0.54412,                 1.0521,                0.88229,                0.81887,               0.001307,               0.001307,               0.001307
                     38,                0.80045,                0.49544,                0.81803,                  0.877,                0.61905,                0.72823,                0.52317,                 1.1183,                 1.3566,                 0.8233,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81349,                0.49245,                0.81813,                0.93289,                0.66224,                0.75885,                0.56816,                 1.0924,                0.83353,                0.82511,              0.0012674,              0.0012674,              0.0012674
                     40,                0.76984,                0.47857,                0.81338,                0.92763,                0.66667,                0.73972,                0.52777,                 1.0485,                0.90133,                0.82609,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.7623,                0.46331,                0.81808,                0.98502,                0.61905,                 0.7616,                0.58172,                 1.0607,                0.92493,                0.82772,              0.0012278,              0.0012278,              0.0012278
                     42,                0.73993,                0.45206,                0.80936,                0.98573,                0.61905,                0.76143,                0.53693,                 1.0076,                0.82004,                0.82161,               0.001208,               0.001208,               0.001208
                     43,                0.77587,                0.47327,                0.81747,                0.80942,                0.71429,                0.76194,                0.57282,                0.91363,                0.80092,                0.81127,              0.0011882,              0.0011882,              0.0011882
                     44,                0.77196,                0.46752,                 0.8159,                      1,                0.65925,                0.77895,                0.57912,                 1.0145,                0.71052,                0.81842,              0.0011684,              0.0011684,              0.0011684
                     45,                0.73977,                0.45698,                0.81338,                      1,                0.66533,                0.79035,                0.59216,                 1.0529,                0.72258,                0.81847,              0.0011486,              0.0011486,              0.0011486
                     46,                0.77944,                0.48647,                0.81515,                0.88191,                0.71141,                0.75628,                0.53793,                 1.1576,                0.80046,                0.83297,              0.0011288,              0.0011288,              0.0011288
                     47,                0.75781,                0.47004,                0.80832,                0.92089,                0.71429,                0.74086,                0.54707,                 1.0366,                 0.8444,                 0.8177,               0.001109,               0.001109,               0.001109
                     48,                0.77464,                0.46915,                0.81853,                0.93117,                0.66667,                0.76761,                 0.5531,                 1.0308,                0.72469,                0.81913,              0.0010892,              0.0010892,              0.0010892
                     49,                0.73053,                 0.4426,                0.81408,                0.97704,                0.61905,                0.75601,                0.53678,                 1.1253,                   0.89,                0.82612,              0.0010694,              0.0010694,              0.0010694
                     50,                0.73217,                0.43473,                0.80805,                0.99612,                0.66667,                0.78523,                0.57233,                 1.0317,                0.70573,                0.81783,              0.0010496,              0.0010496,              0.0010496
                     51,                0.73451,                0.43964,                0.81831,                0.83511,                0.80952,                0.79272,                0.55799,                 1.0217,                 0.7161,                0.81323,              0.0010298,              0.0010298,              0.0010298
                     52,                0.73223,                0.44585,                0.81215,                      1,                0.65807,                0.77662,                0.56859,                 1.0193,                0.79643,                0.81461,                0.00101,                0.00101,                0.00101
                     53,                0.73445,                0.43714,                0.81018,                      1,                0.66452,                0.77868,                0.55575,                 1.0311,                0.69583,                0.81941,              0.0009902,              0.0009902,              0.0009902
                     54,                0.72816,                0.43147,                 0.8152,                0.93628,                0.70035,                0.76443,                0.53642,                  1.113,                 0.7161,                0.82528,              0.0009704,              0.0009704,              0.0009704
                     55,                0.70488,                0.42382,                0.81487,                0.88731,                0.75042,                0.79952,                0.57209,                0.98776,                 0.7182,                0.81425,              0.0009506,              0.0009506,              0.0009506
                     56,                0.72934,                0.42256,                0.81049,                0.98793,                 0.7619,                0.81853,                0.58761,                0.96853,                0.66591,                0.81939,              0.0009308,              0.0009308,              0.0009308
                     57,                0.72156,                0.42748,                0.80878,                0.94055,                0.75373,                0.82786,                0.57222,                 1.0211,                 0.6883,                0.82023,               0.000911,               0.000911,               0.000911
                     58,                0.69901,                 0.4233,                0.81044,                  0.839,                0.80952,                0.82058,                0.57539,                 1.0082,                0.68718,                0.81445,              0.0008912,              0.0008912,              0.0008912
                     59,                0.70354,                0.42473,                0.79818,                 0.9237,                0.71429,                0.81251,                0.56269,                 1.1304,                0.67405,                0.82389,              0.0008714,              0.0008714,              0.0008714
                     60,                0.69919,                0.42581,                0.80332,                      1,                0.66039,                0.79023,                0.57256,                0.99143,                0.65909,                0.81448,              0.0008516,              0.0008516,              0.0008516
                     61,                0.68767,                0.42129,                0.80742,                0.97592,                0.61905,                0.81665,                0.57605,                 1.0464,                0.73581,                0.82112,              0.0008318,              0.0008318,              0.0008318
