                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81154,                 1.9427,                 0.8245,                0.43081,                0.55505,                0.59239,                0.42067,                 1.1618,                 5.7556,                0.83748,             0.00012602,             0.00012602,             0.00012602
                     36,                0.84379,                 1.8743,                0.81534,                0.47666,                0.65389,                0.68681,                0.52317,                  1.161,                 5.7192,                0.83849,             0.00012338,             0.00012338,             0.00012338
                     37,                0.85333,                  1.932,                0.81407,                 0.7283,                0.36538,                0.63849,                0.48975,                 1.1297,                 5.6829,                0.84146,             0.00012074,             0.00012074,             0.00012074
                     38,                0.79161,                 1.7903,                0.81124,                0.53384,                0.42454,                0.70899,                0.52956,                 1.1308,                 5.6112,                0.83888,             0.00011811,             0.00011811,             0.00011811
                     39,                0.79446,                 1.7411,                0.80586,                0.59933,                0.42806,                0.65531,                0.46835,                 1.2127,                 5.8974,                0.84239,             0.00011547,             0.00011547,             0.00011547
                     40,                0.80417,                 1.7317,                0.81589,                0.63552,                0.53756,                 0.7714,                0.57205,                 1.1017,                 5.5967,                  0.829,             0.00011284,             0.00011284,             0.00011284
                     41,                0.78846,                 1.6867,                0.81755,                0.57677,                0.55427,                0.65501,                0.48064,                 1.1016,                 5.7118,                0.83393,              0.0001102,              0.0001102,              0.0001102
                     42,                0.76692,                 1.6462,                0.80678,                0.62976,                0.48489,                  0.671,                0.47923,                 1.0825,                 5.3702,                0.82843,             0.00010757,             0.00010757,             0.00010757
                     43,                0.75347,                 1.6535,                 0.8068,                0.50527,                0.58033,                 0.6201,                0.44236,                 1.1195,                 5.5969,                0.83047,             0.00010493,             0.00010493,             0.00010493
                     44,                0.78245,                 1.6609,                0.81011,                0.63272,                0.40385,                0.59528,                0.44015,                 1.1078,                 5.7376,                0.83473,             0.00010229,             0.00010229,             0.00010229
                     45,                0.75305,                 1.5972,                0.80861,                0.80458,                0.33349,                0.58405,                0.43147,                 1.0893,                 5.5124,                0.83366,             9.9657e-05,             9.9657e-05,             9.9657e-05
                     46,                0.76594,                  1.616,                0.80366,                0.64166,                0.43861,                0.69993,                0.53225,                 1.0961,                 5.2986,                0.83497,             9.7021e-05,             9.7021e-05,             9.7021e-05
                     47,                0.73944,                 1.5412,                0.80271,                0.57155,                0.48077,                0.62164,                0.45658,                 1.0651,                 5.0292,                0.82772,             9.4386e-05,             9.4386e-05,             9.4386e-05
                     48,                0.76081,                 1.5572,                0.81208,                0.81674,                0.34615,                0.56857,                0.42361,                 1.0433,                 5.2249,                 0.8317,              9.175e-05,              9.175e-05,              9.175e-05
                     49,                0.75262,                 1.4686,                0.81064,                0.67448,                0.41363,                0.61347,                0.43203,                 1.1411,                 5.3157,                0.83258,             8.9114e-05,             8.9114e-05,             8.9114e-05
                     50,                0.73837,                 1.4716,                0.80961,                0.48432,                 0.5348,                0.68858,                0.53755,                 1.0483,                 5.3284,                0.82033,             8.6478e-05,             8.6478e-05,             8.6478e-05
                     51,                0.73444,                 1.4357,                0.80901,                0.75439,                0.32692,                0.62932,                0.49057,                 1.0381,                 5.0601,                0.82403,             8.3842e-05,             8.3842e-05,             8.3842e-05
                     52,                0.70382,                 1.3689,                0.79906,                 0.5536,                0.53056,                 0.6743,                0.49965,                 1.0997,                 5.1325,                0.82706,             8.1206e-05,             8.1206e-05,             8.1206e-05
                     53,                0.71271,                 1.4459,                0.81455,                0.55575,                0.56474,                0.67649,                0.53242,                 1.0475,                 5.1621,                0.82801,              7.857e-05,              7.857e-05,              7.857e-05
                     54,                 0.7304,                 1.3791,                0.81013,                0.45711,                0.51357,                0.67958,                0.51645,                 1.0969,                 5.2531,                0.82938,             7.5935e-05,             7.5935e-05,             7.5935e-05
                     55,                0.72585,                 1.4164,                0.80893,                0.78928,                0.32594,                0.67442,                0.51879,                 1.0672,                 5.1432,                0.82594,             7.3299e-05,             7.3299e-05,             7.3299e-05
                     56,                0.73815,                 1.4106,                0.81058,                0.67877,                0.42301,                0.67317,                0.49615,                 1.1483,                 5.0788,                0.83271,             7.0663e-05,             7.0663e-05,             7.0663e-05
                     57,                0.71416,                 1.3503,                 0.8078,                0.46415,                    0.5,                0.67445,                0.51318,                 1.0606,                 5.0371,                0.83056,             6.8027e-05,             6.8027e-05,             6.8027e-05
                     58,                0.69516,                 1.3578,                0.80167,                0.43572,                0.48165,                0.66201,                0.51145,                 1.0598,                 5.0519,                0.83235,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     59,                0.68227,                 1.2736,                0.80186,                0.40745,                0.56061,                0.64398,                0.50239,                 1.0147,                 4.8346,                0.82485,             6.2755e-05,             6.2755e-05,             6.2755e-05
